"","MA_rep1","MA_rep2","Y_rep1","Y_rep2"
"ENSDARG00000000001",4.52053570115648,4.35912248852079,4.66862089194303,4.24366155286073
"ENSDARG00000000002",4.06459087741146,3.90880197328594,3.99140654814233,3.71439093947715
"ENSDARG00000000018",5.78162872568935,5.70593774399231,5.89158206537567,5.95544408692928
"ENSDARG00000000019",7.90351375331256,7.71107249716802,7.88487334174758,7.74586383745612
"ENSDARG00000000068",3.84432513406172,3.64290222098466,3.76902581625154,3.90601811832905
"ENSDARG00000000069",3.58426282052757,3.82801769870421,3.5336622540203,4.04938702589932
"ENSDARG00000000086",7.02330840007145,7.03525024175677,6.82877796135794,7.06558249057252
"ENSDARG00000000103",8.46236743642376,8.5612302802582,8.31326801138087,8.54301533362413
"ENSDARG00000000142",4.73626416086303,3.99878504080939,4.16648523902581,4.01652134831254
"ENSDARG00000000151",3.60196478338944,3.48898573006709,3.32792835396496,3.73877605567153
"ENSDARG00000000161",0.0518014354190502,1.10840368533374,0.622827201617488,0.955069377038888
"ENSDARG00000000175",2.19861426910139,1.83546274846604,1.78469783194318,2.13748906438962
"ENSDARG00000000183",7.20368739524258,7.36500910917452,7.41899853001541,7.43056165789833
"ENSDARG00000000189",5.84060005346,6.40669671388658,5.73958105975649,6.18130211496013
"ENSDARG00000000212",-1.17054180979471,-1.42859003409278,-2.76262459475271,-2.16337672423428
"ENSDARG00000000229",4.12705486754349,3.85050217285512,3.85921866607592,4.0687529547094
"ENSDARG00000000241",6.4042814183212,6.13325564782327,5.96958358840574,6.05913622813957
"ENSDARG00000000324",-2.75533220728558,-2.75222492911893,-3.75507409092907,-3.75507409092907
"ENSDARG00000000349",-0.585607994941412,-0.29046635604745,-1.766414717203,-1.16169790880953
"ENSDARG00000000369",-2.17045575561323,-2.75222492911893,-2.18018773566693,-3.75507409092907
"ENSDARG00000000370",8.42338575290281,8.50594114491376,8.14417425230926,8.36190422006871
"ENSDARG00000000380",1.19862259759846,1.15731981713661,-0.183984507819913,0.646854972178655
"ENSDARG00000000394",7.79130426264099,7.88406620339571,7.78916731078001,7.86511530090046
"ENSDARG00000000423",3.92389224855696,3.85050217285512,3.93029806860798,3.73877605567153
"ENSDARG00000000442",4.65803907347806,4.34862996444469,4.47300939217408,4.173838140269
"ENSDARG00000000460",-3.75507409092907,-3.75507409092906,-3.75507409092907,-1.42506792147819
"ENSDARG00000000472",1.1024084310936,0.337747214166395,0.478513544989937,0.50241464252249
"ENSDARG00000000474",-1.7554612827835,-0.942838330949867,-2.18018773566693,-0.939065816094595
"ENSDARG00000000476",2.6706803891763,2.78971633551307,2.87379356337979,2.85482562974926
"ENSDARG00000000489",-0.170584838810393,1.4983966097695,-0.768313518884112,-0.160859233122051
"ENSDARG00000000503",10.8321871674678,10.8187526460192,10.6668226516732,10.8660985013827
"ENSDARG00000000516",1.37370740050432,1.10840368533374,0.552474094264739,1.38401214749565
"ENSDARG00000000529",4.05819311636809,4.19896284641512,4.03075332852388,3.86229520156657
"ENSDARG00000000540",5.24159012161797,5.23929211969372,5.1984823500696,5.26342555159055
"ENSDARG00000000542",3.15130452886555,3.20476910818392,2.97139440371207,3.11291076314306
"ENSDARG00000000551",6.96892378847326,6.92745375280013,7.79203263446803,7.18500936324213
"ENSDARG00000000563",2.79900397514814,3.42050416310497,3.10027998015385,3.91317815756675
"ENSDARG00000000567",5.02577051726467,4.82045927396347,5.04999781264082,4.98631182579173
"ENSDARG00000000568",5.78550693863455,5.85794164677092,5.93024318888192,5.90784893642632
"ENSDARG00000000588",2.12706143156042,2.47936155229247,2.5875227850774,2.83987420837928
"ENSDARG00000000606",0.566363543390195,1.33791434588954,0.754008740488577,1.11265067218156
"ENSDARG00000000631",5.21882524655761,5.21350323654112,5.08779897450473,5.53112464147683
"ENSDARG00000000651",3.11477876317585,2.83552193430904,1.78469783194318,2.13748906438962
"ENSDARG00000000656",-1.17054180979471,0.57226260935337,2.16077200875836,1.50267932955116
"ENSDARG00000000666",6.57083951944994,6.62347939242489,6.7494317980015,6.6462525567693
"ENSDARG00000000690",1.73627420137096,2.08340895243815,2.31747183121548,2.03619333216287
"ENSDARG00000000729",4.25003618858866,4.22213953535258,4.44415554426501,4.46930171862424
"ENSDARG00000000730",5.49470889597577,5.39781352164348,5.54495863306482,5.23513612052153
"ENSDARG00000000747",0.944869208607982,1.42038579060957,1.03768358456146,1.06201221265806
"ENSDARG00000000760",2.76797719894688,2.78971633551307,2.75351256338769,2.69784436718391
"ENSDARG00000000767",3.42432228136122,3.54520317759795,3.79972089082525,3.38422764588494
"ENSDARG00000000779",5.85912013292128,5.81476060169658,5.8334310854615,5.81533597040386
"ENSDARG00000000796",1.1024084310936,2.65994271051797,1.93051756663847,2.08773004849156
"ENSDARG00000000804",-2.17045575561323,-2.16631395681886,-1.766414717203,-1.74749957304548
"ENSDARG00000000830",1.56635063428122,2.8204144189226,0.400555511873638,0.778141155697374
"ENSDARG00000000837",3.99260488148376,4.17540773979657,4.02426960238588,4.19749008397882
"ENSDARG00000000853",6.39796211523237,6.51857109353845,6.30928402776155,6.58816401003628
"ENSDARG00000000857",4.04531184565414,3.90880197328594,4.42950929121398,4.46930171862424
"ENSDARG00000000861",7.33386034826153,7.62674186877136,7.48008984306392,7.70673913274315
"ENSDARG00000000887",-3.75507409092907,-3.75507409092906,-2.76262459475271,-2.7500199962371
"ENSDARG00000000906",2.19861426910139,2.18126281235743,3.06280869782774,2.23213676068547
"ENSDARG00000000935",3.5111995239207,3.3273921283191,3.35917690745403,3.33175756571311
"ENSDARG00000000943",3.03883014850558,2.75835082188022,2.49676937249908,2.79406713970644
"ENSDARG00000000966",7.97360564139904,8.32341983272309,7.96661433568146,8.26204127848739
"ENSDARG00000001014",6.47563124047391,6.89627350290832,6.54494668622747,6.94936827339186
"ENSDARG00000001015",5.43423507324653,5.67897054368754,5.842673112841,5.6081479048626
"ENSDARG00000001057",4.94485058958707,4.9819242797512,5.09709650836751,4.98631182579173
"ENSDARG00000001127",7.82136646390043,7.6647732143806,7.62210826217599,7.58144202607001
"ENSDARG00000001129",5.44408285318793,5.51270420910024,5.5873603833869,5.57692883791713
"ENSDARG00000001154",5.60415997644474,5.59268453075159,5.52443016212396,5.52646321162
"ENSDARG00000001162",7.82325419053152,7.92613292415669,7.64817045739017,7.75286481458057
"ENSDARG00000001169",2.02577873223239,3.00545351180625,2.65622690297345,2.71433380347051
"ENSDARG00000001210",4.40931835604704,4.62997992243783,4.44900477196156,4.585902104597
"ENSDARG00000001220",5.71811610604921,5.72228582927233,5.24662284754934,5.74485042978169
"ENSDARG00000001234",4.03231452608058,4.10234306300885,4.41966185983576,4.40472816752786
"ENSDARG00000001241",7.12015925640116,7.24496926881432,7.23401305348977,7.27876597822103
"ENSDARG00000001244",8.41151422482834,8.8992000155367,8.58348629407767,8.92788219114849
"ENSDARG00000001249",2.91684003459561,2.47936155229247,2.35928561273678,2.25485933134322
"ENSDARG00000001259",0.244441903014004,0.337747214166395,0.230736142287542,-0.0453175223772979
"ENSDARG00000001303",-1.7554612827835,0.250263480089226,2.95784921369675,2.13748906438962
"ENSDARG00000001313",0.331902845881702,-1.42859003409278,1.23026073801586,0.898470374687862
"ENSDARG00000001354",-0.0551109313678978,-0.0493787688584127,-0.768313518884112,-0.576176236795363
"ENSDARG00000001414",0.767994036977334,1.05777061438604,0.874250056778512,0.839559921963619
"ENSDARG00000001431",1.63673934745026,2.03187502698722,3.80729369114133,2.4447032625065
"ENSDARG00000001437",2.0773087034511,1.10840368533374,3.85191425564001,1.92724461955556
"ENSDARG00000001442",1.49235073226711,1.74234545244537,1.8448056093449,1.80939134699603
"ENSDARG00000001447",4.18104967680832,4.24494977333165,4.25774948836429,4.36350447851127
"ENSDARG00000001452",0.703864720037998,0.498247073594607,2.75351256338769,0.424382717853529
"ENSDARG00000001463",5.10549764664023,5.25060752029752,5.38715876794806,5.2939163271338
"ENSDARG00000001470",3.9586576067443,3.84304621619186,4.11249271842914,4.26620473529522
"ENSDARG00000001498",-2.17045575561323,-2.75222492911893,-2.18018773566693,-2.16337672423428
"ENSDARG00000001549",1.49235073226711,1.42038579060957,1.13718303211675,0.955069377038888
"ENSDARG00000001557",4.53903202355461,4.71820811758616,4.44415554426501,4.8172322771315
"ENSDARG00000001558",1.19862259759846,1.10840368533374,2.63935516629441,2.34233141561083
"ENSDARG00000001559",6.60415958346828,6.92038601780702,6.65396254329215,6.67391584079755
"ENSDARG00000001572",-1.43355900438156,-1.42859003409278,-3.75507409092907,-2.7500199962371
"ENSDARG00000001578",6.6248710826336,6.50800181794683,6.48482620216797,6.50649061633725
"ENSDARG00000001621",3.40428457793128,3.41045022252577,3.35917690745403,3.02310852558709
"ENSDARG00000001634",6.81236604575034,6.85609448840316,6.83156575978506,6.83338256951376
"ENSDARG00000001656",-2.17045575561323,-0.428021549141403,1.8448056093449,1.06201221265806
"ENSDARG00000001676",8.39066018996916,8.11519017517926,8.07880337662781,8.02029966466918
"ENSDARG00000001686",1.37370740050432,0.420227945505989,0.622827201617488,0.161236538413428
"ENSDARG00000001710",7.0930328506265,7.15825746309575,7.41156516789935,7.21211343811919
"ENSDARG00000001712",1.41434897518731,1.42038579060957,1.68956267374957,2.42480179176845
"ENSDARG00000001721",-2.17045575561323,-2.75222492911893,-2.76262459475271,-2.7500199962371
"ENSDARG00000001729",6.92389004453533,6.86163978163861,6.89956540896775,6.88982118062855
"ENSDARG00000001733",5.26955018356326,5.29226698778142,5.31196230014469,5.50055259511039
"ENSDARG00000001734",5.87558733703498,5.72228582927233,5.72965208669951,5.63870569407538
"ENSDARG00000001754",1.91684509703259,-2.16631395681886,-0.44676548440999,0.713990939903793
